"","Apple","Nike","Facebook","Microsoft","CocaCola","USBancorp","P&G","Kellogs","AT&T"
"2014-01-03",-0.00503905265810012,0,0.00346525624658045,-0.00401606425702805,-0.0107003891050583,0,-0.00700848395426035,0.000163988192850129,-0.00255391600454036
"2014-01-06",-0.0278551532033426,0.00409416581371547,-0.0109051254089422,-0.00940860215053763,-0.00491642084562449,0.0178078755956861,-0.00185735512630025,-0.00327922610263987,-0.00398293029871977
"2014-01-07",0.0127637405574368,-0.00968399592252811,0.0602719588386622,-0.0143826322930801,0,0.00788565795958607,0.00124054087582182,-0.00279651258430669,0.00342759211653831
"2014-01-08",-0.0101594650205762,-0.00283067421513128,-0.00173310225303291,-0.00881057268722463,-0.000988142292490113,-0.00440097799510997,0.00322140998637099,0.00247443088089749,-0.0193566752063763
"2014-01-09",0.0148109653111601,-0.00103225806451612,0.0182291666666665,-0.0033333333333333,-0.0121167161226508,0.0142436149312377,-0.00531060886748169,-0.00905051834786907,-0.00609579100145141
"2014-01-10",-0.0126744334912302,-0.00542495479204341,-0.0259164535379368,0.000557413600891676,0.000250312891113769,-0.000484261501210503,0.00062080953563437,0.00282298239787449,-0.0146028037383178
"2014-01-13",-0.0184128630705395,-0.00207792207792201,0.0136530719411867,0.00250696378830084,0.00100100100100109,-0.00968992248062017,-0.0071969226951234,0.00430534856764364,-0.00444576170717248
"2014-01-14",0.0157199471598415,-0.0226444560124937,-0.0250388533931962,-0.03500972492359,-0.00900000000000001,0,0.000624921884764262,-0.00164880461665295,-0.00774039892825262
"2014-01-15",0.0283521914423202,0.00186418109187758,0.0269217144881331,0.033688453786352,0.00479313824419769,0.00758317025440292,0.00799400449662757,0.0077621800165153,0.00990099009900991
"2014-01-16",0.00252940432528148,0,-0.0124180751983443,0.0220055710306406,-0.0012553351744915,0.00582665695557183,-0.000619578686493094,-0.00278597181252049,0.00683303624480103
"2014-01-17",-0.00618140532357758,-0.00850611376927168,0.000698567935731642,0.00381575361133835,-0.00150829562594279,0.00458604875693935,-0.00285182889026658,0.00690221857025475,0.00413101209796407
"2014-01-21",-0.0190403655750191,-0.00616621983914201,-0.0122164048865618,-0.00027151778441481,-0.0020140986908358,0.00144161460836134,0.0021139020144243,-0.00505957238452759,-0.00558330884513658
"2014-01-22",0.0183747412008282,-0.00242783922309153,0.0397526501766785,-0.0152091254752852,0.00882946518668026,-0.00695777351247595,-0.0126566571534931,-0.00328083989501315,-0.00709219858156029
"2014-01-23",-0.00177890724269381,-0.0129799891833423,-0.0421410365335599,-0.00468836183121879,-0.00950237559389855,-0.00314085527905295,-0.0108080935025764,0.000329163923634024,-0.0113095238095239
"2014-01-24",0.00738289205702647,-0.00986301369863007,-0.00390278516941633,0.0376835688556387,-0.0133804594799294,-0.0189045079980611,0.00787701689747178,-0.00691016781836129,0.0183624322697171
"2014-01-27",-0.0070760677280769,-0.00498063087991141,-0.0252894033837935,-0.015487316421896,-0.00665301944728758,-0.00914031620553357,-0.00113450144964078,-0.00878064943671308,-0.00886786875554235
"2014-01-28",-0.0750827182489182,0.00500556173526134,-0.0129727754430842,-0.0203417412530512,-0.00128799587841311,0.000747943156320208,-0.00719333669863698,0.00267424369045632,-0.000894721145243138
"2014-01-29",-0.00949367088607611,0.000553403431101218,0.0109218807848943,-0.00387596899224807,-0.00515862780500398,0.00348779272546085,0.00165247235286636,-0.00183363893982325,-0.0328358208955224
"2014-01-30",-0.00277816363383787,0.00165929203539839,0.137520600622597,0.0225125069483048,-0.0147783251231527,-0.00446871896722933,-0.00951776649746194,-0.0198730794923181,0.0351851851851852
"2014-01-31",-0.0146259924780612,0.00773053561568204,-0.0265614938828075,0.00434900788257697,-0.00131578947368416,-0.0122194513715711,-0.0258808456117873,-0.0177202249105469,-0.0169946332737031
"2014-02-03",0.014984450098954,-0.00328767123287665,0.0423350421696709,0.0213802435723951,0.0018445322793148,0.00227215349659193,0.00868078390109162,0.006244579358196,0.0106157112526539
